nat_lable,advx_lable,perturbation,data_norm
13,16,1.4453778,31.34258
12,16,1.4746906,32.00881
13,12,1.4265109,31.768162
13,8,1.3348625,31.426607
11,16,1.4407248,32.079605
12,9,1.4990367,32.09686
13,12,1.4205635,32.590332
16,10,1.4106405,31.615433
16,11,1.3317678,32.88928
9,16,1.464069,31.549065
16,9,1.2863874,32.542885
13,12,1.3035115,32.21615
14,9,1.1892014,32.070454
10,13,1.3030608,32.434437
16,12,1.2677076,31.974558
15,12,1.3161068,31.708115
15,13,1.3023615,31.896534
15,12,1.2817578,32.501366
16,14,1.3830731,31.541334
15,13,1.2424686,31.717958
15,14,1.4320985,32.428158
15,13,1.2159882,31.302568
16,14,1.4297675,32.737362
16,11,1.2227699,33.18293
15,14,1.2839705,31.856966
15,14,1.3460695,31.85538
14,15,1.2932972,31.712212
16,15,1.3338112,31.451752
14,16,1.3506491,32.324474
16,14,1.3416162,32.80175
16,15,1.2973987,31.985996
14,16,1.3309464,31.54516
16,14,1.2384684,33.58741
14,16,1.251915,31.63222
14,16,1.3944248,32.108612
14,13,1.183938,32.03897
14,15,1.2811124,32.210022
16,10,1.1969688,32.497906
15,14,1.3307942,32.518276
14,16,1.2971104,32.24457
14,15,1.2631702,32.46663
16,14,1.2707279,32.514046
16,15,1.2311255,32.588634
14,15,1.2148837,31.971493
16,14,1.2171685,31.283955
14,16,1.1931555,31.84244
16,14,1.2980386,32.734886
14,15,1.1193825,32.59425
14,16,1.2935734,32.336945
14,15,1.2949044,31.970053
14,16,1.2503928,31.883467
14,16,1.2022717,31.612345
14,16,1.2416888,31.918573
14,16,1.2518599,32.387764
14,15,1.1368694,31.317942
15,14,1.1998008,32.458183
14,15,1.135807,31.90399
14,16,1.2690611,32.57435
16,15,1.288084,31.932838
14,15,1.1614208,31.906271
16,13,1.0953299,32.51439
14,16,1.2944956,32.720016
14,16,1.179633,32.389816
14,15,1.1138213,32.110584
14,15,1.1377105,32.442257
14,15,1.2409215,31.512266
14,16,1.2019168,31.98765
14,15,1.1906763,32.054653
14,15,1.1744816,30.98214
14,16,1.1944375,32.03043
14,16,1.277629,32.73763
16,14,1.3108715,32.615105
14,16,1.1559339,33.1717
14,16,1.2600198,32.777946
14,16,1.2054385,32.692432
13,14,1.1672889,32.372494
14,16,1.2594682,32.224274
15,14,1.1933347,31.166101
14,16,1.1839879,32.47856
12,16,1.3114203,32.94868
14,16,1.2122743,31.282063
14,16,1.1917715,31.362894
15,16,1.2257597,31.246195
14,15,1.1242126,32.69956
16,15,1.30761,30.483582
14,16,1.2535813,31.564533
15,14,1.1773463,31.571154
16,14,1.2793292,32.81341
14,16,1.3450994,31.567944
16,14,1.2466522,31.882269
14,16,1.2020537,32.74392
16,14,1.1624012,31.814747
14,16,1.2131217,32.03675
14,16,1.1642203,31.59905
14,15,1.1387901,32.337482
14,16,1.2255645,32.476917
14,16,1.2658064,32.137066
15,14,1.1866046,32.88413
14,16,1.1671426,31.639488
14,13,1.1996951,31.674736
14,16,1.251464,31.047543
14,16,1.1960356,30.517437
14,16,1.1985455,32.12869
14,16,1.1938387,32.336967
16,14,1.2863909,32.471905
14,16,1.203376,32.560104
14,15,1.2447956,31.287973
14,16,1.207889,33.573986
14,16,1.2838745,31.169455
14,16,1.1807337,33.48885
14,16,1.2724814,32.63051
16,15,1.2013329,32.064564
14,16,1.2129699,31.991655
14,16,1.2548462,32.83202
14,15,1.233512,31.532627
14,16,1.2457397,31.582056
14,15,1.2091212,32.392117
14,16,1.3012741,31.808249
16,15,1.1950401,31.204504
16,14,1.1777112,33.4603
