nat_lable,advx_lable,perturbation,data_norm
13,16,1.6744289,31.34258
12,11,1.6744289,32.00881
13,12,1.6744289,31.768162
13,8,1.6744288,31.426607
11,16,1.6744288,32.079605
12,9,1.6744288,32.09686
13,12,1.6744288,32.590332
16,10,1.6744288,31.615433
16,11,1.6744289,32.88928
9,16,1.6744288,31.549065
16,9,1.6744289,32.542885
13,16,1.6744289,32.21615
14,9,1.6744289,32.070454
10,15,1.6744288,32.434437
16,12,1.6744288,31.974558
15,12,1.6744288,31.708115
15,9,1.6744288,31.896534
15,16,1.6744288,32.501366
16,14,1.6744288,31.541334
15,14,1.6744289,31.717958
15,14,1.6744288,32.428158
15,13,1.6744288,31.302568
16,15,1.6744288,32.737362
16,11,1.6744289,33.18293
15,14,1.6744289,31.856966
15,14,1.6744289,31.85538
14,11,1.6744288,31.712212
16,15,1.6744289,31.451752
14,16,1.6744288,32.324474
16,14,1.6744288,32.80175
16,10,1.6744289,31.985996
14,11,1.6744288,31.54516
16,14,1.6744289,33.58741
14,11,1.6744288,31.63222
14,16,1.6744289,32.108612
14,13,1.6744288,32.03897
14,11,1.6744289,32.210022
16,10,1.6744288,32.497906
15,14,1.6744289,32.518276
14,16,1.6744288,32.24457
14,11,1.6744288,32.46663
16,14,1.6744289,32.514046
16,13,1.6744288,32.588634
14,11,1.6744289,31.971493
16,14,1.6744288,31.283955
14,16,1.6744288,31.84244
16,14,1.6744289,32.734886
14,13,1.6744289,32.59425
14,16,1.6744288,32.336945
14,15,1.6744289,31.970053
14,16,1.6744288,31.883467
14,16,1.6744288,31.612345
14,16,1.6744288,31.918573
14,15,1.6744288,32.387764
14,15,1.6744289,31.317942
15,14,1.6744288,32.458183
14,11,1.6744288,31.90399
14,16,1.6744288,32.57435
16,15,1.6744288,31.932838
14,15,1.6744288,31.906271
16,13,1.6744289,32.51439
14,16,1.6744289,32.720016
14,16,1.6744288,32.389816
14,15,1.6744288,32.110584
14,15,1.6744289,32.442257
14,11,1.6744289,31.512266
14,16,1.6744288,31.98765
14,11,1.6744288,32.054653
14,15,1.6744289,30.98214
14,16,1.6744288,32.03043
14,15,1.6744288,32.73763
16,14,1.6744288,32.615105
14,16,1.6744289,33.1717
14,16,1.6744288,32.777946
14,16,1.6744289,32.692432
13,14,1.6744289,32.372494
14,16,1.6744289,32.224274
15,14,1.6744288,31.166101
14,16,1.6744289,32.47856
12,14,1.6744288,32.94868
14,16,1.6744289,31.282063
14,11,1.6744288,31.362894
15,16,1.6744288,31.246195
14,15,1.6744289,32.69956
16,15,1.6744289,30.483582
14,16,1.6744288,31.564533
15,14,1.6744289,31.571154
16,14,1.6744289,32.81341
14,16,1.6744289,31.567944
16,15,1.6744288,31.882269
14,16,1.6744289,32.74392
16,14,1.6744288,31.814747
14,11,1.6744289,32.03675
14,16,1.6744288,31.59905
14,15,1.6744288,32.337482
14,16,1.6744288,32.476917
14,15,1.6744289,32.137066
15,14,1.6744289,32.88413
14,16,1.6744288,31.639488
14,15,1.6744288,31.674736
14,16,1.6744288,31.047543
14,16,1.6744288,30.517437
14,15,1.6744289,32.12869
14,16,1.6744289,32.336967
16,14,1.6744289,32.471905
14,16,1.6744288,32.560104
14,16,1.6744289,31.287973
14,16,1.6744288,33.573986
14,16,1.6744288,31.169455
14,16,1.6744289,33.48885
14,16,1.6744288,32.63051
16,15,1.6744288,32.064564
14,16,1.6744288,31.991655
14,16,1.6744289,32.83202
14,13,1.6744288,31.532627
14,16,1.6744289,31.582056
14,15,1.6744288,32.392117
14,16,1.6744289,31.808249
16,15,1.6744288,31.204504
16,14,1.6744288,33.4603
