nat_lable,advx_lable,perturbation,data_norm
6,5,1.626412,32.622986
7,6,1.6176211,32.438904
5,6,1.6214238,33.10054
7,6,1.6264769,31.92212
6,5,1.6240857,32.23142
7,8,1.6083753,32.0344
5,6,1.6165986,31.975975
7,6,1.6264924,32.108925
7,5,1.6220821,32.28636
7,6,1.6132895,32.26983
6,5,1.613953,32.152267
7,6,1.6207933,32.02798
7,6,1.6176956,31.924698
7,6,1.6180375,31.991238
6,7,1.6285129,31.76563
7,6,1.6149124,31.942814
7,6,1.6057752,32.0852
7,6,1.6193794,32.33411
7,6,1.6056412,31.98013
7,6,1.6047297,31.92879
6,7,1.6320096,32.415127
6,7,1.6034735,31.664822
7,6,1.6096419,32.33584
7,6,1.6004375,31.725988
7,6,1.6041918,31.931429
6,7,1.5846221,32.31851
6,7,1.6225702,32.048347
6,7,1.6115719,31.91152
6,7,1.6129049,32.157127
6,7,1.6100376,32.25068
6,7,1.6165984,32.306572
6,7,1.5967609,31.933695
6,7,1.6179194,31.879362
6,7,1.6113049,32.0867
6,7,1.588269,31.591648
6,7,1.5870978,32.262665
6,7,1.607457,32.1455
6,7,1.6224748,32.817062
6,7,1.6031369,32.05101
6,7,1.6109104,31.77121
7,6,1.6089196,32.075123
6,7,1.6138937,31.787386
6,7,1.6066809,32.18322
6,7,1.612027,31.901188
6,7,1.6129047,32.356045
6,7,1.565376,32.211357
6,7,1.5963552,32.049694
6,7,1.5807027,32.47073
6,7,1.6194092,31.96962
6,7,1.590164,32.054268
7,6,1.6023124,32.227074
6,7,1.595882,32.763474
6,7,1.5997872,31.761587
6,7,1.60689,31.982403
6,7,1.5884801,31.826223
6,7,1.6102988,32.246017
6,7,1.6177253,31.877758
6,7,1.6161234,31.85518
6,7,1.6110286,32.250546
6,7,1.6112754,31.209023
6,7,1.6022756,32.091663
6,7,1.5783321,32.29426
6,7,1.584872,31.780186
6,7,1.5966928,31.903742
6,7,1.6057694,32.203037
6,7,1.5931953,32.520588
6,7,1.6112604,32.10327
6,7,1.6134988,31.76641
6,7,1.5947906,32.32987
6,7,1.6113709,31.69743
6,7,1.6235759,32.10774
6,7,1.5981578,32.42328
6,7,1.5841769,32.341095
6,7,1.5777555,32.101395
6,7,1.6331997,31.922253
6,7,1.6069268,31.997622
6,7,1.5994186,32.29809
6,7,1.6275463,31.673279
6,7,1.6036453,31.843975
6,7,1.5998985,32.202065
6,7,1.6110959,31.513144
6,7,1.6091287,32.108166
6,7,1.6197426,32.378998
6,7,1.6209424,32.319004
6,7,1.6212685,32.81335
6,7,1.6125625,32.141953
6,7,1.6037279,32.01024
6,7,1.6122273,32.092373
6,7,1.6069266,32.082745
6,7,1.6191717,32.00763
6,7,1.6146824,31.63368
6,7,1.60253,31.779541
6,7,1.6157898,32.10852
6,7,1.6082917,32.151604
6,7,1.5962425,31.99138
6,7,1.5970473,32.46226
6,7,1.5960767,31.855368
6,7,1.6108489,32.515564
6,7,1.6063366,32.239918
6,7,1.6030164,32.286877
6,7,1.5896733,32.222622
6,7,1.6016235,31.864464
6,7,1.6129797,32.671696
6,7,1.5861222,31.36048
6,7,1.5993737,31.886492
6,7,1.5945718,32.135757
6,7,1.6011587,32.156395
6,7,1.5863185,31.88767
6,7,1.607666,32.425903
6,7,1.6170955,31.905968
6,7,1.5925248,32.509647
6,7,1.5785456,32.449066
6,7,1.6151508,32.434227
6,7,1.6144807,32.425266
6,7,1.6106558,32.175632
6,7,1.6071292,32.047245
6,7,1.6079347,31.931198
6,7,1.6090467,32.65726
6,7,1.5880274,32.13999
6,7,1.6211425,31.761942
