nat_lable,advx_lable,perturbation,data_norm
13,16,1.7148649,31.34258
12,16,1.748069,32.00881
13,12,1.6321133,31.768162
13,8,1.419415,31.426607
11,16,1.7109299,32.079605
12,9,1.7540823,32.09686
13,12,1.6069943,32.590332
16,10,1.695106,31.615433
16,11,1.5655168,32.88928
9,16,1.7201312,31.549065
16,11,1.6362565,32.542885
13,12,1.5545789,32.21615
14,9,1.4805847,32.070454
10,13,1.6019293,32.434437
16,12,1.5605389,31.974558
15,12,1.5240299,31.708115
15,13,1.5668443,31.896534
15,12,1.3728822,32.501366
16,14,1.5983856,31.541334
15,13,1.4050802,31.717958
15,14,1.6550788,32.428158
15,9,1.4967391,31.302568
16,14,1.6481506,32.737362
16,9,1.499742,33.18293
15,14,1.4855611,31.856966
15,14,1.4934235,31.85538
14,10,1.5217923,31.712212
16,15,1.5042173,31.451752
14,16,1.6269736,32.324474
16,14,1.555983,32.80175
16,10,1.5091617,31.985996
14,16,1.5606616,31.54516
16,14,1.5378919,33.58741
14,16,1.5493523,31.63222
14,16,1.5963517,32.108612
14,13,1.4912066,32.03897
14,15,1.5515895,32.210022
16,10,1.5104812,32.497906
15,14,1.3662505,32.518276
14,16,1.4215684,32.24457
14,15,1.4455386,32.46663
16,14,1.4121908,32.514046
16,13,1.3830144,32.588634
14,11,1.5124433,31.971493
16,14,1.472918,31.283955
14,16,1.436451,31.84244
16,14,1.406928,32.734886
14,10,1.4712931,32.59425
14,16,1.5551075,32.336945
14,16,1.453763,31.970053
14,16,1.4313445,31.883467
14,16,1.4824301,31.612345
14,16,1.4037094,31.918573
14,16,1.3622025,32.387764
14,15,1.5396017,31.317942
15,14,1.4399307,32.458183
14,16,1.5490175,31.90399
14,16,1.5370225,32.57435
16,15,1.4946834,31.932838
14,10,1.5200933,31.906271
16,13,1.3954567,32.51439
14,16,1.4559492,32.720016
14,16,1.4088427,32.389816
14,13,1.4433756,32.110584
14,15,1.3448395,32.442257
14,15,1.5426307,31.512266
14,16,1.4041649,31.98765
14,11,1.4056358,32.054653
14,16,1.4482849,30.98214
14,16,1.4277947,32.03043
14,10,1.5328734,32.73763
16,14,1.5269494,32.615105
14,16,1.4338821,33.1717
14,16,1.4494908,32.777946
14,16,1.3796667,32.692432
13,14,1.4273683,32.372494
14,16,1.4599308,32.224274
15,14,1.4391252,31.166101
14,16,1.5102952,32.47856
12,14,1.441974,32.94868
14,16,1.4483734,31.282063
14,15,1.4105902,31.362894
15,16,1.4432918,31.246195
14,10,1.5162023,32.69956
16,15,1.5453274,30.483582
14,16,1.5097697,31.564533
15,14,1.4252728,31.571154
16,14,1.5110657,32.81341
14,16,1.5414193,31.567944
16,14,1.4607457,31.882269
14,11,1.4376938,32.74392
16,14,1.4774128,31.814747
14,16,1.434427,32.03675
14,16,1.4478872,31.59905
14,16,1.5110791,32.337482
14,16,1.3906635,32.476917
14,15,1.4493791,32.137066
15,14,1.5023553,32.88413
14,16,1.4065558,31.639488
14,15,1.5038396,31.674736
14,16,1.4911855,31.047543
14,16,1.4104545,30.517437
14,16,1.4809484,32.12869
14,16,1.3815769,32.336967
16,14,1.5027499,32.471905
14,16,1.3622588,32.560104
14,15,1.524044,31.287973
14,16,1.492875,33.573986
14,16,1.5611461,31.169455
14,16,1.4880536,33.48885
14,16,1.4636129,32.63051
16,15,1.489053,32.064564
14,16,1.3850329,31.991655
14,16,1.4855611,32.83202
14,16,1.6020004,31.532627
14,16,1.5161104,31.582056
14,15,1.3200309,32.392117
14,16,1.5149958,31.808249
16,15,1.3532084,31.204504
16,14,1.3919047,33.4603
